what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350088946309
error,log,,,"Could not write metadata for '/'.",1350088979507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350088979540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350088984211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1350088998993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350089001237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1350089004156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350089013135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350089013821
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350089016292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089017626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089019595
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350089021290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089021326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089103235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089106988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089110501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089139438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089148881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089161646
error,log,,,"Could not write metadata for '/'.",1350089313874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089423022
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350089426789
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors.lineNumberToggle",1350089429711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089431548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089470345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350089471547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152443833
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350152461564
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350152461873
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350152461898
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350152475186
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350152489827
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350152489827
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350152491196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152500778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152503275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350152558110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152559095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152574134
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350152576192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152578029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152580312
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350152582143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152582156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152611520
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350152621737
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1350152623957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350152629818
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350152635076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152636261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152638446
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350152639269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350152639291
error,log,,,"Could not write metadata for '/'.",1350152858168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350166140718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350166141979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350166142097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350166145199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350166175636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350166185831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350234988121
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1350235008002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350235010138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350235012745
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1350235013206
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350235016392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350235017356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1350235017399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350235058867
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350235060469
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350235070650
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350235082929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350235090409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350235094491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350235095501
