what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085649977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085654512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085670926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085670971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085672679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085677634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085808857
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350085809784
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350085812637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085818430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085835529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085838002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085923798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085930221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085945880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085946493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085946806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085948104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085964512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085966150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085969878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085971186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350085990228
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350085994224
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350085994411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350085999363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350086025488
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350086027620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086034703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086081041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086082371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086091194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086093995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086170338
error,log,,,"Could not write metadata for '/'.",1350086246900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086247084
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1350086299693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086301333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086729699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086730933
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350086736349
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350086737582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086738631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350086739945
